Id;SurveyAnswerID;Content;BeginOffset;SentimentScore;SentimentMagnitude
85;968;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
94;1003;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
138;1263;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
185;1552;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
222;1767;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
278;2046;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
307;2172;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
411;2655;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
567;3138;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
570;3154;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
582;3220;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
628;3463;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
651;3561;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
666;3632;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
741;3989;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
766;4076;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
806;4291;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
809;4304;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
863;4572;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
889;4689;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
978;5132;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1174;6201;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1212;6409;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1364;7215;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1405;7427;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1582;8326;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1680;8816;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1696;8877;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1771;9235;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1780;9291;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
1792;9341;"Excelente servicio";-1;0,89999997615814209;0,89999997615814209
