item_label1;number_item_label1;item_class1;item_label2;number_item_label2;item_class2;correlation;p_value;relation_number;item_class1 (grupos)
"la facilidad para encontrar lo que buscabas";"394";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"1";"0";4;"Servicio"
"el precio vs producto adquirido";"326";"Producto";"la música y ambientación";"392";"Experiencia";"NaN";"0";4;"Producto"
"el tiempo de respuesta";"347";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0";4;"Servicio"
"la música y ambientación";"392";"Experiencia";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0";4;"5"
"la amabilidad en la atención";"392";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"0.5773502691896257";"0.0002361994709367";4;"Servicio"
"la amabilidad de la persona que te atendió";"392";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0002361994709367";4;"Servicio"
"la facilidad para contactarnos";"374";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0002361994709367";4;"Servicio"
"la exhibición de los productos dentro de la tienda";"415";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0002361994709367";4;"Producto"
"la satisfacción general con tu experiencia de compra";"369";"Experiencia";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0002361994709367";4;"5"
"el acompañamiento durante la compra";"426";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0003157333424171";4;"Servicio"
"la satisfacción general con la solución a tu caso";"351";"Servicio";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0003157333424171";4;"Servicio"
"la Información sobre los productos";"380";"Producto";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0003157333424171";4;"Producto"
"la agilidad en el proceso de pago";"384";"Experiencia";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0003157333424171";4;"5"
"la Información sobre cambios y garantías";"310";"Experiencia";"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"862";"NPS";"NaN";"0.0003157333424171";4;"5"
"la música y ambientación";"392";"Experiencia";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"NaN";"0.0003183434400711";4;"5"
"el diseño de las vitrinas";"345";"Experiencia";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"-0.3333333333333333";"0.0011722164447168";4;"5"
"la amabilidad de la persona que te atendió";"392";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"-0.3333333333333333";"0.0011722164447168";4;"Servicio"
"la facilidad para contactarnos";"374";"Servicio";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"936";"NPS";"-0.3333333333333333";"0.0011722164447168";4;"Servicio"
