item_label_delete;item_label_keep;question_type;enabled
"la facilidad para contactarnos";"la amabilidad de la persona que te atendió";"3";"0"
"el diseño de las vitrinas";"la música y ambientación";"3";"0"
"la amabilidad en la atención";"la facilidad para encontrar lo que buscabas";"3";"0"
"el interés e indagación de tu necesidad";"la atención e interés por el niño o la niña";"3";"0"
"¿Cómo calificarías tu satisfacción general con OFFCORSS?";"¿Qué tan posible es que vuelvas a comprar en las tiendas de OFFCORSS?";"3";"0"
"la Información sobre cambios y garantías";"los probadores/Vestier";"3";"0"
"la Información sobre los productos";"la exhibición de los productos dentro de la tienda";"3";"0"
"el ofrecimiento de opciones para complementar el look";"la facilidad para encontrar lo que buscabas";"3";"0"
"la satisfacción general con tu experiencia de compra";"la agilidad en el proceso de pago";"3";"0"
"la satisfacción general con la asesoría y servicio";"el acompañamiento durante la compra";"3";"0"
"la satisfacción general con la solución a tu caso";"la amabilidad de la persona que te atendió";"3";"0"
"el precio vs producto adquirido";"la disponibilidad de los productos";"3";"0"
"la calidad de los productos";"el diseño de los productos";"3";"0"
"la atención e interés por el niño o la niña";"la facilidad para encontrar lo que buscabas";"3";"0"
"la experiencia y diversión para los niños/as";"la música y ambientación";"3";"0"
"el tiempo de respuesta";"la amabilidad de la persona que te atendió";"3";"0"
"la satisfacción general con los productos";"el diseño de los productos";"3";"0"
